user_name,signature,verified,basic_stats,links,hashtag
jemheigis,Keys/voice,False,"follower_count : 2809
following_count : 13
likes_count : 11200
video_count : 8
last_active : 2022-01-12
","https://tiktok.com/@jemheigis/video/7052161743010696454
https://tiktok.com/@jemheigis/video/7050951268478553350",synthsolo
calfbeats,"ğŸ”¥ğŸªğŸŒŒğŸ’«â˜„ï¸
music producer/musician 
ğŸ¥ğŸ¹ğŸšï¸ğŸ¸ğŸ™ï¸
ğš’ğš: calfbeats ğŸ”‰",False,"follower_count : 123
following_count : 20
likes_count : 9532
video_count : 5
last_active : 2022-02-15
","https://tiktok.com/@calfbeats/video/7064845090405108997
https://tiktok.com/@calfbeats/video/7063975745026247941",synthsolo
tjviolamusic,"Teej
Iâ€™d like to think that I can write music
YouTube/Spotify/iTunes: TJ Viola",False,"follower_count : 145
following_count : 173
likes_count : 3447
video_count : 33
last_active : 2022-01-26
",https://tiktok.com/@tjviolamusic/video/7057324470108769583,synthsolo
willeason1,Musician and music creator ğŸ•º,False,"follower_count : 1740
following_count : 85
likes_count : 12700
video_count : 118
last_active : 2021-02-18
","https://tiktok.com/@willeason1/video/6930590625939180805
https://tiktok.com/@willeason1/video/6952125475892284678
https://tiktok.com/@willeason1/video/6946993929699069190
https://tiktok.com/@willeason1/video/6954382067299814661
https://tiktok.com/@willeason1/video/7026475225134959877
https://tiktok.com/@willeason1/video/6955035057287482630
https://tiktok.com/@willeason1/video/6956657663023353093",synthsolo
vincenzocrimaco_pianist,"Pianist â€¢ Composer ğŸµğŸ¹
Listen my music on Spotify â¬‡ï¸",False,"follower_count : 6292
following_count : 1504
likes_count : 97200
video_count : 139
last_active : 2021-08-09
",https://tiktok.com/@vincenzocrimaco_pianist/video/6994395919449869574,synthsolo
huberjonathan,"Berklee grad harmony nerd, LA. Check out my Insta!",False,"follower_count : 8539
following_count : 506
likes_count : 117000
video_count : 134
last_active : 2021-02-19
",https://tiktok.com/@huberjonathan/video/6931068768428805382,synthsolo
_buttonmasher,"If you like what youre hearing check me out on spotify, youtube and instagram.",False,"follower_count : 1093
following_count : 21
likes_count : 8257
video_count : 53
last_active : 2021-06-21
",https://tiktok.com/@_buttonmasher/video/6976331957105855750,synthsolo
noisebody,jazz spirited,False,"follower_count : 137
following_count : 59
likes_count : 1263
video_count : 17
last_active : 2021-02-01
",https://tiktok.com/@noisebody/video/6924364514276281605,synthsolo
martinomora,,False,"follower_count : 27
following_count : 10
likes_count : 605
video_count : 2
last_active : 2020-12-30
","https://tiktok.com/@martinomora/video/6912102073693752578
https://tiktok.com/@martinomora/video/6913232583983762690",synthsolo
scjmusic,"Productor y pianistağŸ§âœ¨ 
Mid, MÃ©xicoğŸ‡²ğŸ‡½",False,"follower_count : 219
following_count : 172
likes_count : 1969
video_count : 26
last_active : 2021-07-14
",https://tiktok.com/@scjmusic/video/6984581916062125317,synthsolo
smoochgod,QUALITY GUITAR CONTENT BELOW ğŸ¸ğŸ‘‡ğŸ¿,False,"follower_count : 8213
following_count : 10
likes_count : 319800
video_count : 74
last_active : 2022-02-15
",https://tiktok.com/@smoochgod/video/7065008585851358469,guitarsolo
